B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
mix_1	0	0	0	0	0	0	0	0	0.0033240322578544	0	0.0167414008785569
mix_2	0	0	0	0	0	0	0.02548276030905	0	0.0443128755470659	0.0116205600109801	0
mix_3	0	0	0.0341925268939545	0.0328395755576333	0.00609473268816002	0.023314571458562	0	0	0	0	0
mix_4	0	0	0	0	0	0	0	0	0	0	0
mix_5	0	0	0	0	0	0	0	0	0	0	0
mix_6	0	0	0	0	0	0	0	0	0	0	0
mix_7	0.0182763186705925	0.0203175502638713	0	0	0	0	0	0	0	0	0
mix_8	0	0	0	0	0	0	0	0	0	0	0
mix_9	0	0	0	0	0	0	0	0	0	0	0.00329096584553882
mix_10	0.0638690702185372	0.0562916554183936	0	0	0	0	0	0	0	0	0
mix_11	0	0	0	0	0	0	0.0134536360542491	0	0.0317854381181251	0.00509204958593949	0
mix_12	0	0	0	0	0	0	0	0	0.0113534523006393	0	0
mix_13	0.0526459395369647	0.0469391251330706	0	0	0	0	0	0	0	0	0
mix_14	0.0756674046474691	0.0654005346977557	0	0	0	0	0	0	0	0	0
mix_15	0	0	0	0	0	0	-0.00783274933466064	0	0	0	0
mix_16	0	0	0	0	0	0	0	0	0	0	0
mix_17	0.0947164314753905	0.0785009427537752	0	0	0	0	0	-0.0019238560893439	0	-0.00205142630929323	-0.0102640536337289
mix_18	0	0	0	0	0	0	0.0430540555944358	0	0.0540164880277055	0.0147319971104467	0.000221861203142389
mix_19	0	0	0	0	0	0	0	0	0	0	0
mix_20	0	0	0.0623701626876703	0.0626334873099053	0.0421538251679925	0.0820504114001776	-0.0274944587354997	0	-0.0203594522844953	-0.012510419150179	0
mix_21	0.00777025323433074	0.0105619040983263	0	0	0	0	0	0	0	0	0
mix_22	0	0	0	0	0	0	0	0	0	0	0
mix_23	0.0178094415832976	0.018857974353792	0	0	0	0	0	0	0	0	0
mix_24	0	0	0	0	0	0	0.0202712865239736	0.0194752084828494	0.0463983139553607	0.0160321073281335	0.0263023803677821
mix_25	0	0	0.00314383109325149	0	0	0	0	0	0	0	0
mix_26	0	0	0.00646222864730926	0.0232558719627882	0.0236495162630007	0.0557337677555939	-0.0136887003670093	0	-0.011169618504281	0	0
mix_27	0	0	-0.00193704564376621	0	-0.00640742423731062	0	0	0	0	0	0
mix_28	0	0	0.0313520188288305	0.0315649231750907	0.0141824398383604	0.0432848398142645	-0.0109804893708751	0	-0.00967028194461241	-0.00630277205446361	0
mix_29	0	0	0	0	0	0	0	0	0	0	0
mix_30	0	0	0	0	0	0	0	0	0	0	0
mix_31	0	0	0	0	0	0	0	0	0	0	0
mix_32	0	0	0	0	0	0	0	0	0	0	0
mix_33	0	0	0	0	0	0	0	0	0	0	0
mix_34	0	0	0	0	0	0	0	0	0.0225148181915139	0.003666689074577	0.0122989307708111
mix_35	0	0	0	0	0	0	0	0	0	0	0
mix_36	0.0365468055451213	0.0359774518395647	0	0	0	0	0	0	0	0	0
mix_37	0.0288590626151508	0.0312886752251679	0	0	0	0	0	0	0	0	0
mix_38	0	0	0.027224926223978	0.0387641305645411	0.0250593586171987	0.0523505384969654	-0.00309702607419818	0	-0.00252155026535388	0	0
mix_39	0.0165236138039655	0.0122716990501561	0	0	0	0	-0.00281630549404967	0	0	0	0
mix_40	0	0	0	0	0	0	0	0	0	0	0
mix_41	0	0	0	0	0	0	0	0	0	0	0
mix_42	0.0477333099836019	0.0430932419959068	0	0	0	0	-0.00282620067056949	0	0	0	0
mix_43	0	0	0	0.00184015811894714	0.00679566948041537	0.0402855297424253	0	0	0	0	0
mix_44	0	0	0.0153535395014158	0.0294479135126876	0.0175344354768084	0.0386076684454857	0	0	0	0	0
mix_45	0	0	0.0435590364820731	0.0330228541455288	0	0	0	0	0	0	0
mix_46	0	0	0	0.000320455117140631	0	0.0360141787514232	0	0	0	0	0
mix_47	0	0	0	0	0	0	0	0	0	0	0
mix_48	0	0	-0.00922901102670849	-0.00152972721104622	-0.00770866174081273	0	0	0	0	0	0.0125861649123905
mix_49	0	0	0	0	0	0	0	0	0	0	0
mix_50	0.0234531700043457	0.0260293114146773	0.0198091745179575	0.00937158600108823	0	0	0	-0.0164139500996256	0	0	-0.0139921016847927
mix_51	0	0	0	0	0	0	0	0	0	0	0
mix_52	0.0499914920934271	0.0434805344438595	0	0	0	0	0	0	0	0	0
mix_53	0	0	0	0	0	0	0	0	0	0	0
mix_54	0.0519626034701099	0.0468623078391269	0	0	0	0	-5.75134122574034e-05	-0.0160153557595408	0	-0.00424834402439798	-0.00776066782871655
mix_55	0	0	0	0	0	0	0	0	0	0	0
mix_56	0	0	0.0364140601965234	0.0232847394760958	0	0	0	0	0	0	0
mix_57	0	0	0	0	0	0	0	0	0	0	0
mix_58	0	0	0	0	0	0	0	0	0	0	0
mix_59	0	0	0	0	0	0	0	0	0	0	0
