B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
S10001	0	0.1321	0.3545	0.0417	0.0359	0.0467	0.1338	0.0602	0.1152	0.0074	0.0724
S10006	0	0.1393	0.2015	0.013	0.0682	0.1143	0.1125	0.0556	0.1596	0.0526	0.0834
S1001	0.0047	0.0909	0.0963	0.0944	0.0359	0.192	0.1236	0.0284	0.2209	0.0798	0.0331
S10010	0	0.0788	0.1698	0.0044	0.0608	0.1289	0.195	0.059	0.2075	0.0724	0.0236
S10011	0	0.0908	0.3067	0.082	0.0525	0.1192	0.1152	0.0463	0.1329	0.019	0.0354
S10014	0	0.1409	0.1806	0.0114	0.0566	0.1597	0.1148	0.0424	0.1649	0.0183	0.1104
S10026	0.0337	0.0731	0.1693	0.0598	0.0553	0.0891	0.1589	0.0232	0.2416	0.0674	0.0288
S10032	0.0204	0.1136	0.1636	0.0659	0.0382	0.0814	0.1262	0.0902	0.224	0.0322	0.0444
S10036	0	0.107	0.1504	0.1244	0.0932	0.042	0.1346	0.0168	0.2002	0.0598	0.0715
S10042	0	0.1014	0.1639	0.0505	0.0454	0.1694	0.1402	0.061	0.1619	0.0598	0.0464
S10044	0	0.1021	0.2185	0.054	0.0772	0.0749	0.1639	0.034	0.1916	0.0643	0.0195
S10049	0.0414	0.0877	0.1712	0.1264	0.0517	0.0971	0.1134	0.0615	0.1719	0.0317	0.046
S10057	0	0.0897	0.1863	0.0321	0.1021	0.2418	0.0712	0.0697	0.1204	0.0074	0.0792
S10062	0	0.1046	0.2237	0.0875	0.0353	0.0978	0.137	0.0693	0.1857	0.0336	0.0256
S10066	0	0.0773	0.2307	0.0876	0.0281	0.0181	0.1354	0.097	0.1907	0.0564	0.0787
S10067	0.0053	0.0762	0.1934	0.1304	0.0594	0.1722	0.0929	0.0566	0.1468	0.0131	0.0538
S1007	0.0111	0.1355	0.2035	0.0501	0.0449	0.114	0.1048	0.0492	0.1849	0.0248	0.0772
S10073	0	0.0602	0.2473	0.1392	0.0338	0.1892	0.1123	0.0521	0.1115	0.0299	0.0244
S10077	0	0.134	0.242	0.015	0.031	0.134	0.1223	0.0699	0.1677	0.0305	0.0535
S10080	0	0.126	0.1558	0.0164	0.0463	0.227	0.0941	0.0655	0.174	0.0339	0.061
S10082	0	0.1123	0.2239	0.1416	0.0737	0.0676	0.129	0.0706	0.1531	0.0203	0.0079
S10087	0.0119	0.1131	0.1774	0.1422	0.0508	0.0954	0.1259	0.0621	0.1734	0.0477	0
S10089	0	0.0963	0.227	0.0565	0.0501	0.1114	0.1604	0.0776	0.1425	0	0.0782
S1009	0	0.1422	0.2915	0.1297	0.0369	0.1549	0.0524	0.0631	0.0984	0.0051	0.0258
S10090	0	0.1051	0.224	0.0879	0.0396	0.1243	0.1454	0.0739	0.1004	0.0357	0.0639
S10093	0	0.0982	0.2088	0.0126	0.1212	0.0823	0.1288	0.0432	0.2022	0	0.1028
S10094	0	0.1115	0.1971	0.0354	0.0557	0.0971	0.1361	0.0509	0.2244	0.0604	0.0313
S1010	0	0.124	0.2405	0.0774	0.0272	0.1461	0.1074	0.0704	0.1492	7e-04	0.057
S10111	0	0.0724	0.208	0.1699	0.0633	0.122	0.0964	0.061	0.137	0.0459	0.0241
S10116	0	0.0611	0.2716	0.0953	0.0378	0.3482	0.037	0.0456	0.0615	0	0.0418
S10119	0	0.1046	0.2322	0.1395	0.0475	0.0836	0.0933	0.0461	0.1634	0.0516	0.0382
