Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
mix_1,360.667220837,197.833317366,191.224815338,681.001485474,1363.74411449,250.538183377,416.877362928,1219.87718352,546.652294473,1891.47800124
mix_2,372.843204908,211.04371595,119.612011578,489.192733066,931.906308737,198.88744657,368.213707617,1013.84092931,411.01709707,1342.85640798
mix_3,274.187724352,188.927799494,164.35872163,316.75356778,501.257102967,248.334117842,280.209971031,753.816203418,296.534753351,789.240845702
mix_4,410.167289395,235.562970067,128.330221138,590.2053794,1046.16340179,216.816048829,534.341006188,1422.39375487,658.244458337,1675.67625982
mix_5,345.339371891,218.337756464,137.39220542,535.860548116,967.0049164,212.191588181,422.942244391,1152.38857076,500.572447035,1448.21660691
mix_6,383.347291879,226.475788507,116.057627453,602.565976856,1117.48013107,192.202357566,494.4097392,1382.32994176,618.137069513,1717.81153623
mix_7,327.07871713,201.732562261,120.016491499,438.977468389,781.68861721,209.011960689,359.856457326,983.845922795,391.89110512,1196.16357797
mix_8,311.153680295,159.613102853,114.078632394,476.848217015,925.006689087,187.205722753,345.045918787,980.287328617,400.906206344,1324.68427983
mix_9,426.850264161,271.998419945,148.239343467,713.203003754,1296.93573697,219.252094729,578.756859834,1563.58759988,738.176668575,2004.90544545
mix_10,409.463108427,275.554186003,224.302142228,395.745861981,599.335188545,290.440780056,475.093185045,1194.46354316,524.318410363,1094.38220312
mix_11,450.517094679,300.736169214,220.451160866,686.434187248,1343.53300032,284.883142097,461.169122808,1259.85585916,583.404219881,1897.45746567
mix_12,336.014321331,181.432598609,134.531632262,515.100604489,939.104257994,216.721946698,469.080549092,1269.18061334,562.510123268,1467.03612249
mix_13,368.872396319,192.927872886,164.979960425,499.585057892,767.41401976,238.023207275,525.453224712,1433.8248378,635.893016103,1449.6328379
mix_14,451.09048644,304.081224252,230.468370202,599.895493774,1047.14770088,292.620820757,560.438331978,1472.9253041,707.836462049,1708.38517317
mix_15,323.454131072,192.985737086,116.520782498,511.500476238,958.082685865,188.601782783,406.901965936,1117.45387559,485.725215697,1410.00616656
mix_16,263.843258965,192.062629834,97.5462847509,283.82605225,429.339306822,185.004487194,273.463792711,699.200621881,247.578074857,690.179356736
mix_17,267.991466526,160.136570877,88.7099299345,253.814637431,370.516452905,178.803968666,295.356910722,762.050664306,279.634120309,661.898161077
mix_18,403.364830624,229.608812981,215.712376232,307.326560674,400.487196474,290.170668674,474.725530919,1228.21657992,546.680003978,922.511079862
mix_19,259.794080075,150.72729856,154.260390365,335.484644548,571.483573594,232.649900195,289.125748239,816.994192143,296.709385943,867.006466047
mix_20,387.08031401,240.024100575,119.575839964,534.70220531,966.81407703,199.76528569,485.587140729,1325.96192875,601.568015854,1542.48081089
mix_21,285.170305768,161.890321107,110.236702328,301.157127949,435.78574195,199.600204128,396.573272528,1059.30716168,438.149096493,871.406031662
mix_22,419.407208414,258.595252384,232.104166986,645.563593747,1178.71021842,301.080773935,492.621837061,1347.82561005,633.344369453,1796.77891024
