Gene,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
mix_1,479.635587709,469.678110178,1277.1458386,234.870704354,1372.54623609,1590.13335497
mix_2,500.095070919,313.214790124,958.98778358,148.077094226,1052.6189638,1183.25508909
mix_3,389.423345228,549.116870213,572.479727407,274.807374454,703.996895611,707.896942035
mix_4,622.03750836,310.463204735,1117.74105925,166.14921133,1499.39210103,1445.86796116
mix_5,518.376399636,405.843279152,987.367651216,214.028975801,1180.71259374,1238.34532447
mix_6,587.381872444,290.777732744,1145.36325214,159.269705161,1463.93735846,1471.90166975
mix_7,464.653353401,430.546658964,819.125269781,220.390450443,966.304606211,1021.38075386
mix_8,417.682461195,365.620553859,914.401285272,183.077628331,1035.5711425,1149.70178915
mix_9,664.464406412,302.377879274,1324.36041318,163.307087017,1698.08217828,1696.03007698
mix_10,619.174170037,511.402956653,778.091851746,260.115008301,1180.7839009,1011.49435641
mix_11,619.047376924,465.287859026,1297.60545267,224.852363816,1415.4786567,1595.93987034
mix_12,503.40094235,391.471912856,994.71698229,214.751059522,1328.08748062,1293.88890939
mix_13,582.895372185,335.357944248,946.275238497,184.415514798,1523.56399053,1284.54268813
mix_14,688.440099973,458.22981379,1145.60294587,241.674467944,1570.83007686,1477.64990205
mix_15,481.158463617,354.04828698,972.079999125,184.901473105,1185.98056242,1238.09667339
mix_16,396.398155993,418.232788629,496.160573115,221.944206393,618.612946819,625.314517332
mix_17,398.261676854,393.989052304,477.927965715,211.458656599,693.043438018,635.127544226
mix_18,598.398952171,449.457084738,653.460092441,231.374785962,1208.12592348,908.391233595
mix_19,354.224475215,518.918988019,625.520993351,265.69082452,770.037009424,796.82969415
mix_20,598.85347402,263.016849852,1032.0910788,138.426682775,1410.40678075,1367.00293062
mix_21,450.229405016,370.784961674,596.86358935,202.423061242,1024.56806044,835.345301145
mix_22,591.493079108,537.037061707,1204.10974312,274.259708691,1438.85254922,1497.56367299
mix_23,625.447352617,383.949514122,1154.67970117,192.357114254,1508.70793627,1494.96604945
mix_24,508.110148205,334.547073403,897.26067689,182.389313475,1200.52035504,1170.05879166
mix_25,666.215613579,286.934926506,1208.68074894,158.603158208,1643.7919736,1577.95079369
mix_26,435.614620525,490.365055339,537.201451535,260.756316275,927.461630065,743.049793187
mix_27,597.538906659,400.79435421,1258.03893517,200.872616997,1505.1729698,1604.33314812
mix_28,568.980233505,306.877149557,1043.09767004,164.38053086,1375.46977828,1350.9545809
mix_29,541.383322078,439.815450672,1206.31585117,212.363664239,1353.00782676,1498.67260264
mix_30,620.971962414,336.902550982,1139.14906148,183.693713978,1548.45325343,1482.18863523
mix_31,549.377138828,430.6911973,977.053149997,223.253304611,1347.58628839,1266.12693042
mix_32,736.766543033,531.179234599,1168.93993254,277.32551308,1645.66118196,1505.95545646
mix_33,535.391948666,486.45327872,800.169782525,260.94722481,1284.56178319,1087.6772769
mix_34,459.050798207,558.459561737,520.904951065,277.979136243,803.07551765,673.947457304
mix_35,540.913169017,403.477011299,1084.08421772,214.617715611,1397.40357433,1395.29508034
mix_36,543.613308498,486.826479181,977.473128272,253.790512798,1235.2149622,1236.54526726
mix_37,410.259663098,412.624369426,666.51884264,217.80971575,884.687007746,860.025591626
mix_38,438.640078331,465.279926949,835.548145886,238.711917638,976.807140529,1046.92585819
mix_39,573.561484092,306.194421427,1090.26538813,162.523489915,1378.92889821,1390.00061953
mix_40,544.40409454,509.380735759,931.324931897,264.929766835,1288.38771804,1198.24369398
mix_41,463.091375375,547.357576852,599.416416885,275.063255948,918.491278137,792.673673765
mix_42,757.744671499,321.35843856,997.620305508,173.258456745,1575.97006365,1313.18091254
mix_43,531.341250743,508.518522018,584.274923809,263.015807103,966.976691777,777.262630625
mix_44,623.142640622,367.319068473,1091.15693573,184.29800097,1393.19619689,1398.48343013
mix_45,527.924109672,392.399543269,1019.22835444,190.706023223,1186.29782282,1271.16035141
mix_46,475.803280116,618.292235419,769.106076558,313.832676218,1084.78125186,992.355635464
mix_47,297.83237169,387.653852485,265.580110934,203.96370235,347.544260399,341.836896882
mix_48,670.772165196,455.85016676,830.206188227,231.513271912,1337.99637335,1095.46881463
mix_49,626.037763468,735.564365745,1138.12935795,379.997215354,1342.54814201,1380.82135451
mix_50,562.523591185,343.79778577,1132.29929491,183.174722313,1407.73692879,1436.28432013
mix_51,439.521929664,491.920200844,471.459789072,254.399817676,776.158571625,629.57043277
mix_52,479.212931867,504.01482254,629.926329795,253.591194731,920.350477165,821.673104815
mix_53,594.982463017,474.92116491,661.896466172,236.885936095,948.74031031,854.123930475
mix_54,566.163831664,401.523956614,906.641183638,216.289216327,1302.03428601,1191.95933945
mix_55,499.81212179,390.808433786,630.212413198,213.123974621,1141.34601366,884.911872997
mix_56,595.277115394,451.864931917,1080.23212702,246.781789763,1559.33774076,1433.6702504
mix_57,636.47728844,358.247086637,1252.92086462,184.706901623,1558.821441,1593.52687527
mix_58,483.625609867,362.405190164,977.868476649,194.413176699,1276.0304765,1272.99934177
mix_59,497.659859316,561.062539163,595.470900359,277.719986091,787.497964824,733.272155369
mix_60,551.012082229,430.383987023,788.278353348,225.175345631,1248.81217685,1059.13839288
mix_61,542.773923534,443.965756945,939.550125318,236.592943817,1198.59848978,1203.62494608
mix_62,421.881959835,527.894045099,713.98593342,273.020070551,929.612047213,912.019521647
mix_63,513.503845046,373.399234756,995.085825665,203.673116766,1344.78790014,1301.62543339
mix_64,364.478955649,387.879886162,327.254691698,191.671958607,380.440381336,393.188716544
mix_65,439.519859858,540.313042899,613.398067148,271.518960294,853.88384492,794.130863523
mix_66,534.067752825,520.253635871,819.520843898,246.19680942,933.249456148,993.34632185
mix_67,545.598222717,480.485399023,1108.48842786,241.363595338,1230.05849168,1380.64772593
mix_68,469.466811853,383.131191655,728.28755537,197.321859455,1025.37739523,952.614969717
mix_69,627.406701118,292.65043245,984.420490513,160.81149834,1354.28147724,1256.86161693
mix_70,411.812537789,448.894418077,554.111185142,240.46616234,896.435877428,758.322734794
mix_71,454.202040625,434.600258125,780.32996471,221.249212776,1007.22030366,1009.20256659
mix_72,421.521904131,514.85943454,713.557921601,268.244947269,887.857987152,915.449097424
mix_73,437.391881782,409.748437518,575.783993001,227.554950569,894.28957951,770.305036
mix_74,684.889082239,317.505142046,1257.90993297,168.780602369,1748.05581512,1637.40280845
mix_75,589.635766844,418.593295524,777.511519741,219.423852574,1227.60490516,1046.20197381
mix_76,455.722620747,532.029840061,990.477409204,274.737950132,1064.0634374,1216.00697502
mix_77,612.686504299,384.941676338,1017.55914154,193.86520147,1373.71979179,1318.27228911
mix_78,475.591950681,381.697009437,746.575746799,205.870517424,1097.78300611,992.666010969
mix_79,500.201892436,580.135331831,496.676606742,296.330230525,663.811354078,606.1280733
mix_80,620.142153441,553.549959668,674.547163371,282.52412221,1039.4709278,884.004590532
mix_81,474.362088122,625.419899119,564.611511851,309.086059961,728.69670771,707.741277414
mix_82,266.27607276,508.427487239,328.020534715,261.022635846,368.617722703,395.216569643
mix_83,469.887069415,371.380566725,613.115263046,207.597245996,1049.61654829,839.712375431
mix_84,461.957177833,419.425904667,870.282744379,217.189689992,1065.71122224,1109.77779753
mix_85,405.771587512,545.997849056,639.699498307,270.557265664,780.880889597,799.653741618
mix_86,550.198171141,365.476402094,953.520348534,198.733129486,1273.6359041,1240.11807172
mix_87,745.950738086,454.707109254,1559.52249163,237.23255335,1940.81103457,1978.72409835
mix_88,590.299565312,454.899779053,1114.80162686,239.421366688,1490.72579142,1456.45531631
mix_89,502.390407666,553.102320708,405.162981397,268.237214637,584.62778427,507.939710396
mix_90,626.9807868,342.962019665,1440.86394679,183.333263397,1786.9472626,1840.41241306
mix_91,529.919049373,429.634021342,1088.62189285,225.421723926,1378.33140578,1393.58682015
mix_92,580.075903618,324.480971371,963.592545894,171.427111389,1376.91997294,1267.38116828
mix_93,388.290982841,409.31186367,418.292181067,232.279436767,605.705784218,543.083013724
mix_94,635.210236996,364.767408055,1238.0442863,195.291174061,1644.89692062,1592.77872176
mix_95,562.754453601,330.211034208,1003.58110646,179.723890994,1487.82741787,1340.91410528
mix_96,563.937094299,481.151235917,895.757080188,239.764632866,1196.18257229,1151.61746643
mix_97,691.287498149,483.833330323,1177.64492844,259.308605357,1579.59375123,1491.74094132
mix_98,592.953371227,504.995597019,914.670613378,268.302435687,1389.31034432,1197.359286
mix_99,458.059234395,522.823847921,396.133351234,267.312991691,441.822798651,439.469133219
mix_100,507.643538715,402.704559634,939.956322629,221.244242813,1305.33249336,1228.06641588
