ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
8863,6.8026258,8.1235424,7.3093758,8.4471044,7.6849602,7.6219252
8868,6.9781798,8.5629484,7.5321576,8.8434906,7.9553736,8.0071806
8879,6.8101332,8.3726632,6.8962884,8.8428328,7.3842028,7.1611654
8925,6.8957016,8.3803164,7.2681162,8.676768,7.4399156,7.5130868
8944,6.5297832,7.6313702,6.8790618,7.995387,7.108547,6.9927062
8959,7.1175054,8.7897706,7.1542692,9.0220142,7.5173476,7.470607
8963,6.5958204,8.2471972,6.929421,8.5954594,7.0430826,7.0469632
8964,6.9791358,8.6910984,7.1818756,8.9956342,7.6069866,7.5074862
8967,6.7083902,7.9936332,7.0487652,8.2367998,7.3551492,7.2272386
8992,6.9325622,8.1768252,7.3209284,8.1781078,7.7260882,7.6455486
8999,6.7733464,8.8882636,7.0504786,9.3536282,7.109171,7.058823
9003,6.8144586,8.5939576,7.1979036,8.8498452,7.4620434,7.386757
9007,7.2545112,8.376803,7.4767046,8.4628336,7.9944838,7.8313236
9017,6.8577738,7.9444256,7.4383492,8.0281418,7.533922,7.6705476
9029,6.6037774,8.2722348,6.8988092,8.7963092,7.1381432,7.0627704
9031,6.794311,8.1674058,7.0779766,8.4794238,7.216052,7.1232538
9033,6.7844222,7.8626064,7.1141414,7.997599,7.2947938,7.1328448
9043,6.9266308,8.408765,6.981239,8.7987566,7.5093892,7.2697018
9045,6.9769372,8.4250814,7.3589446,8.6867828,7.608852,7.4812812
9046,6.5466896,8.2116406,7.0577444,8.4951738,7.257143,7.1886944
9057,7.0236066,8.4075604,7.3355598,8.6222668,7.6764762,7.6539144
9063,7.248682,8.7332078,7.2713784,8.7649852,7.8570714,7.574149
9093,6.7288956,7.5434406,7.0753696,7.8774108,7.42728,7.3979588
9103,6.882695,8.7110836,7.5335376,8.906206,7.8923396,7.9606364
9121,7.081176,8.323828,7.3948448,8.6027008,7.7192826,7.7733016
9122,6.9041768,8.2942308,7.117064,8.7111576,7.3502268,7.298968
9146,7.1523282,8.4513462,7.2562786,8.8260632,7.818352,7.6822008
9148,6.4594654,8.4931268,6.996114,8.8927974,7.0541938,7.0783126
9150,7.0708436,8.4800754,7.1803664,8.7806004,7.649327,7.6002496
