AbsCibersort	Cibersort	DCQ	Decon	dtangle	EPIC	GEDIT	NNLS	Savant
0.420079530500545	0.426215566990305	0.278118977427646	0.0171982884831271	0.1328122875177	-0.00106498500830293	0.874282558672223	0.169618127856742	0.0293432399765208
0.487167757008796	0.474190828518993	0.243997900929985	0.069451762083677	0.533248288338576	-0.0589105050250799	0.833821539183472	0.0611317719380379	0.403112266062829
0.236733515464946	0.204929442661734	0.170169184822629	-0.0971254250890218	0.588961031170763	-0.0704486465489602	0.857932924851979	-0.0630373082834095	0.0837410412441903
0.277270246341938	0.263158071990179	0.53750635138524	0.305640623693007	0.780410580552576	0.430247358151032	0.931010549664575	0.399468893797978	0.099649732989295
0.0278171882596105	0.0219667300709314	0.0562647333842253	0.0380907616672703	0.0829783108839154	0.405453615786753	0.247676710900465	0.0479091614607529	-0.0491617979760407
0.70037344995422	0.680827106186322	0.475345106365109	0.0181687995087716	0.818251173885475	0.00784975516130134	0.864842956047744	0.167682343292064	0.437267251402125
0.0344419500838183	0.0354718502824638	0.138456638715976	-0.0368080883921243	0.0843424832894443	-0.0473182133798663	0.179202837329022	-0.0421653616617704	0.0212542339681572
0.450770521933017	0.458765538447152	0.498323999792823	0.042224744018696	0.70190761217424	0.029333943066253	0.556682413727204	-0.0409355950493079	0.166914147232842
0.743318140569171	0.765598926377389	0.418988313265824	0.62615410663626	0.397180188365776	0.419616305015545	0.872712395247054	0.671877866613423	0.465824383290595
0.292129129442139	0.280085835835831	0.368725121878287	0.100876167289816	0.850925669658156	-0.284001195121609	0.576991960647928	0.20281388776964	0.549118130967801
