Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
AbsCIBERSORT	ImmunoStates-Full.tsv	A	B Cells	0.0947424521312	0.194	0.0992575478688	0.00985206080893
AbsCIBERSORT	ImmunoStates-Full.tsv	A	Monocytes	0.329229973728	0.194	0.135229973728	0.0182871457946
AbsCIBERSORT	ImmunoStates-Full.tsv	A	NK Cells	0.214690113888	0.194	0.0206901138879	0.000428080812695
AbsCIBERSORT	ImmunoStates-Full.tsv	A	Neutrophils	0.0	0.03	0.03	0.0009
AbsCIBERSORT	ImmunoStates-Full.tsv	A	CD4 T Cells	0.137846512967	0.194	0.056153487033	0.00315321410596
AbsCIBERSORT	ImmunoStates-Full.tsv	A	CD8 T Cells	0.161067482311	0.194	0.0329325176893	0.00108455072136
AbsCIBERSORT	ImmunoStates-Full.tsv	B	B Cells	0.0819700753833	0.194	0.112029924617	0.0125507040096
AbsCIBERSORT	ImmunoStates-Full.tsv	B	Monocytes	0.296996255985	0.194	0.102996255985	0.010608228747
AbsCIBERSORT	ImmunoStates-Full.tsv	B	NK Cells	0.230863200547	0.194	0.0368632005467	0.00135889555455
AbsCIBERSORT	ImmunoStates-Full.tsv	B	Neutrophils	0.0033185300201	0.03	0.0266814699799	0.000711900840288
AbsCIBERSORT	ImmunoStates-Full.tsv	B	CD4 T Cells	0.187687017356	0.194	0.00631298264399	3.98537498634e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	B	CD8 T Cells	0.140789003646	0.194	0.0532109963543	0.00283141013302
AbsCIBERSORT	ImmunoStates-Full.tsv	C	B Cells	0.00518865449929	0.005	0.000188654499294	3.5590520104e-08
AbsCIBERSORT	ImmunoStates-Full.tsv	C	Monocytes	0.0372032789564	0.01	0.0272032789564	0.000740018385982
AbsCIBERSORT	ImmunoStates-Full.tsv	C	NK Cells	0.202005239124	0.051	0.151005239124	0.0228025822429
AbsCIBERSORT	ImmunoStates-Full.tsv	C	Neutrophils	0.000465223283086	0.004	0.00353477671691	1.24946464384e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	C	CD4 T Cells	0.604075468977	0.828	0.223924531023	0.0501421955938
AbsCIBERSORT	ImmunoStates-Full.tsv	C	CD8 T Cells	0.0961546234106	0.102	0.0058453765894	3.41684274719e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	D	B Cells	0.00816630679362	0.005	0.00316630679362	1.00254987113e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	D	Monocytes	0.0376324659673	0.01	0.0276324659673	0.000763553175435
AbsCIBERSORT	ImmunoStates-Full.tsv	D	NK Cells	0.215007067454	0.051	0.164007067454	0.0268983181748
AbsCIBERSORT	ImmunoStates-Full.tsv	D	Neutrophils	0.0	0.004	0.004	1.6e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	D	CD4 T Cells	0.578778908304	0.828	0.249221091696	0.0621111525463
AbsCIBERSORT	ImmunoStates-Full.tsv	D	CD8 T Cells	0.101525875954	0.102	0.000474124046369	2.24793611346e-07
AbsCIBERSORT	ImmunoStates-Full.tsv	E	B Cells	0.0174269829523	0.01	0.00742698295229	5.51600757736e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	E	Monocytes	0.0999459415423	0.026	0.0739459415423	0.00546800227057
AbsCIBERSORT	ImmunoStates-Full.tsv	E	NK Cells	0.289008388379	0.104	0.185008388379	0.0342281037705
AbsCIBERSORT	ImmunoStates-Full.tsv	E	Neutrophils	0.0	0.008	0.008	6.4e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	E	CD4 T Cells	0.141090075312	0.005	0.136090075312	0.0185205085983
AbsCIBERSORT	ImmunoStates-Full.tsv	E	CD8 T Cells	0.370319995353	0.846	0.475680004647	0.226271466821
AbsCIBERSORT	ImmunoStates-Full.tsv	F	B Cells	0.0142853255003	0.027	0.0127146744997	0.000161662947633
AbsCIBERSORT	ImmunoStates-Full.tsv	F	Monocytes	0.128733424203	0.055	0.0737334242028	0.00543661784467
AbsCIBERSORT	ImmunoStates-Full.tsv	F	NK Cells	0.616938809184	0.885	0.268061190816	0.0718568020215
AbsCIBERSORT	ImmunoStates-Full.tsv	F	Neutrophils	0.00737467884968	0.017	0.00962532115032	9.26468072469e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	F	CD4 T Cells	0.0729408551757	0.011	0.0619408551757	0.0038366695399
AbsCIBERSORT	ImmunoStates-Full.tsv	F	CD8 T Cells	0.0534367409284	0.005	0.0484367409284	0.00234611787176
AbsCIBERSORT	ImmunoStates-Full.tsv	G	B Cells	0.100972377482	0.159	0.058027622518	0.00336720497509
AbsCIBERSORT	ImmunoStates-Full.tsv	G	Monocytes	0.473662787617	0.319	0.154662787617	0.0239205778736
AbsCIBERSORT	ImmunoStates-Full.tsv	G	NK Cells	0.0	0.016	0.016	0.000256
AbsCIBERSORT	ImmunoStates-Full.tsv	G	Neutrophils	0.133754951697	0.395	0.261245048303	0.068248975263
AbsCIBERSORT	ImmunoStates-Full.tsv	G	CD4 T Cells	0.0485916474462	0.08	0.0314083525538	0.000986484610144
AbsCIBERSORT	ImmunoStates-Full.tsv	G	CD8 T Cells	0.0754156650318	0.032	0.0434156650318	0.00188491997016
AbsCIBERSORT	ImmunoStates-Full.tsv	H	B Cells	0.0634476033601	0.1	0.0365523966399	0.00133607770012
AbsCIBERSORT	ImmunoStates-Full.tsv	H	Monocytes	0.682727452167	0.813	0.130272547833	0.016970936719
AbsCIBERSORT	ImmunoStates-Full.tsv	H	NK Cells	0.0	0.01	0.01	0.0001
AbsCIBERSORT	ImmunoStates-Full.tsv	H	Neutrophils	0.0	0.001	0.001	1e-06
AbsCIBERSORT	ImmunoStates-Full.tsv	H	CD4 T Cells	0.0691850083019	0.05	0.0191850083019	0.000368064543544
AbsCIBERSORT	ImmunoStates-Full.tsv	H	CD8 T Cells	0.0698214426566	0.025	0.0448214426566	0.00200896172182
AbsCIBERSORT	ImmunoStates-Full.tsv	I	B Cells	0.0753976594163	0.1	0.0246023405837	0.000605275162197
AbsCIBERSORT	ImmunoStates-Full.tsv	I	Monocytes	0.683494060068	0.813	0.129505939932	0.0167717884777
AbsCIBERSORT	ImmunoStates-Full.tsv	I	NK Cells	0.0	0.01	0.01	0.0001
AbsCIBERSORT	ImmunoStates-Full.tsv	I	Neutrophils	0.0	0.001	0.001	1e-06
AbsCIBERSORT	ImmunoStates-Full.tsv	I	CD4 T Cells	0.066913271668	0.05	0.016913271668	0.000286058758515
AbsCIBERSORT	ImmunoStates-Full.tsv	I	CD8 T Cells	0.0706189266019	0.025	0.0456189266019	0.00208108646431
AbsCIBERSORT	ImmunoStates-Full.tsv	J	B Cells	0.0159271504652	0	0.0159271504652	0.000253674121942
AbsCIBERSORT	ImmunoStates-Full.tsv	J	Monocytes	0.0106851399749	0	0.0106851399749	0.000114172216283
AbsCIBERSORT	ImmunoStates-Full.tsv	J	NK Cells	0.114964203632	0	0.114964203632	0.0132167681166
AbsCIBERSORT	ImmunoStates-Full.tsv	J	Neutrophils	0.0	0	0.0	0.0
AbsCIBERSORT	ImmunoStates-Full.tsv	J	CD4 T Cells	0.766779462483	1	0.233220537517	0.0543918191197
AbsCIBERSORT	ImmunoStates-Full.tsv	J	CD8 T Cells	0.0	0	0.0	0.0
AbsCIBERSORT	ImmunoStates-Full.tsv	K	B Cells	0.0063925890447	0	0.0063925890447	4.08651946945e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	K	Monocytes	0.0290874338175	0	0.0290874338175	0.000846078806088
AbsCIBERSORT	ImmunoStates-Full.tsv	K	NK Cells	0.177084773098	0	0.177084773098	0.0313590168631
AbsCIBERSORT	ImmunoStates-Full.tsv	K	Neutrophils	0.0075663065342	0	0.0075663065342	5.72489945696e-05
AbsCIBERSORT	ImmunoStates-Full.tsv	K	CD4 T Cells	0.253842842492	0	0.253842842492	0.0644361886842
AbsCIBERSORT	ImmunoStates-Full.tsv	K	CD8 T Cells	0.464471534062	1	0.535528465938	0.28679073783
AbsCIBERSORT	ImmunoStates-Full.tsv	L	B Cells	0.0218325616717	0	0.0218325616717	0.000476660749151
AbsCIBERSORT	ImmunoStates-Full.tsv	L	Monocytes	0.0258861764469	0	0.0258861764469	0.00067009413104
AbsCIBERSORT	ImmunoStates-Full.tsv	L	NK Cells	0.110062833228	0	0.110062833228	0.0121138272583
AbsCIBERSORT	ImmunoStates-Full.tsv	L	Neutrophils	0.011639741585	0	0.011639741585	0.000135483584165
AbsCIBERSORT	ImmunoStates-Full.tsv	L	CD4 T Cells	0.724408711755	1	0.275591288245	0.0759505581566
AbsCIBERSORT	ImmunoStates-Full.tsv	L	CD8 T Cells	0.0	0	0.0	0.0
CIBERSORT	LM22-Full.tsv	A	B Cells	0.069898288698	0.194	0.124101711302	0.0154012347481
CIBERSORT	LM22-Full.tsv	A	Monocytes	0.326503731893	0.194	0.132503731893	0.0175572389657
CIBERSORT	LM22-Full.tsv	A	NK Cells	0.189100155542	0.194	0.00489984445803	2.40084757129e-05
CIBERSORT	LM22-Full.tsv	A	Neutrophils	0.0205835089516	0.03	0.0094164910484	8.86703036645e-05
CIBERSORT	LM22-Full.tsv	A	CD4 T Cells	0.0926541227395	0.194	0.101345877261	0.0102709868377
CIBERSORT	LM22-Full.tsv	A	CD8 T Cells	0.287745158567	0.194	0.0937451585673	0.00878815475481
CIBERSORT	LM22-Full.tsv	B	B Cells	0.0911607184907	0.194	0.102839281509	0.0105759178213
CIBERSORT	LM22-Full.tsv	B	Monocytes	0.31995218328	0.194	0.12595218328	0.015863952473
CIBERSORT	LM22-Full.tsv	B	NK Cells	0.221336525808	0.194	0.0273365258076	0.000747285643231
CIBERSORT	LM22-Full.tsv	B	Neutrophils	0.0	0.03	0.03	0.0009
CIBERSORT	LM22-Full.tsv	B	CD4 T Cells	0.0514660556299	0.194	0.14253394437	0.0203159252977
CIBERSORT	LM22-Full.tsv	B	CD8 T Cells	0.271316912217	0.194	0.0773169122166	0.00597790491471
CIBERSORT	LM22-Full.tsv	C	B Cells	0.0176762572385	0.005	0.0126762572385	0.000160687497576
CIBERSORT	LM22-Full.tsv	C	Monocytes	0.0543971375277	0.01	0.0443971375277	0.00197110582065
CIBERSORT	LM22-Full.tsv	C	NK Cells	0.0865867021477	0.051	0.0355867021477	0.00126641336975
CIBERSORT	LM22-Full.tsv	C	Neutrophils	0.0	0.004	0.004	1.6e-05
CIBERSORT	LM22-Full.tsv	C	CD4 T Cells	0.447660524597	0.828	0.380339475403	0.14465811655
CIBERSORT	LM22-Full.tsv	C	CD8 T Cells	0.279483846806	0.102	0.177483846806	0.0315005158771
CIBERSORT	LM22-Full.tsv	D	B Cells	0.0209675289786	0.005	0.0159675289786	0.000254961981684
CIBERSORT	LM22-Full.tsv	D	Monocytes	0.0593472207481	0.01	0.0493472207481	0.00243514819556
CIBERSORT	LM22-Full.tsv	D	NK Cells	0.0805724870271	0.051	0.0295724870271	0.000874531988968
CIBERSORT	LM22-Full.tsv	D	Neutrophils	0.0	0.004	0.004	1.6e-05
CIBERSORT	LM22-Full.tsv	D	CD4 T Cells	0.412935498736	0.828	0.415064501264	0.17227854021
CIBERSORT	LM22-Full.tsv	D	CD8 T Cells	0.318302116346	0.102	0.216302116346	0.0467866055358
CIBERSORT	LM22-Full.tsv	E	B Cells	0.0106451450022	0.01	0.000645145002171	4.16212073826e-07
